"filename", "language", "Python", "pip requirements", "Batch", "Markdown", "PL/SQL", "XML", "comment", "blank", "total"
"d:\programming_projects\nba_application\NBAStatsGUI.bat", "Batch", 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\programming_projects\nba_application\README.md", "Markdown", 0, 0, 0, 18, 0, 0, 0, 6, 24
"d:\programming_projects\nba_application\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\programming_projects\nba_application\images\svg\ATL_logo.svg", "XML", 0, 0, 0, 0, 0, 23, 1, 1, 25
"d:\programming_projects\nba_application\images\svg\BKN_logo.svg", "XML", 0, 0, 0, 0, 0, 64, 1, 1, 66
"d:\programming_projects\nba_application\images\svg\BOS_logo.svg", "XML", 0, 0, 0, 0, 0, 316, 1, 1, 318
"d:\programming_projects\nba_application\images\svg\CHA_logo.svg", "XML", 0, 0, 0, 0, 0, 98, 1, 1, 100
"d:\programming_projects\nba_application\images\svg\CHI_logo.svg", "XML", 0, 0, 0, 0, 0, 88, 1, 1, 90
"d:\programming_projects\nba_application\images\svg\CLE_logo.svg", "XML", 0, 0, 0, 0, 0, 17, 1, 1, 19
"d:\programming_projects\nba_application\images\svg\DAL_logo.svg", "XML", 0, 0, 0, 0, 0, 146, 1, 1, 148
"d:\programming_projects\nba_application\images\svg\DEN_logo.svg", "XML", 0, 0, 0, 0, 0, 36, 1, 1, 38
"d:\programming_projects\nba_application\images\svg\DET_logo.svg", "XML", 0, 0, 0, 0, 0, 74, 1, 1, 76
"d:\programming_projects\nba_application\images\svg\GSW_logo.svg", "XML", 0, 0, 0, 0, 0, 33, 1, 1, 35
"d:\programming_projects\nba_application\images\svg\HOU_logo.svg", "XML", 0, 0, 0, 0, 0, 32, 1, 1, 34
"d:\programming_projects\nba_application\images\svg\IND_logo.svg", "XML", 0, 0, 0, 0, 0, 35, 1, 1, 37
"d:\programming_projects\nba_application\images\svg\LAC_logo.svg", "XML", 0, 0, 0, 0, 0, 42, 1, 1, 44
"d:\programming_projects\nba_application\images\svg\LAL_logo.svg", "XML", 0, 0, 0, 0, 0, 117, 1, 1, 119
"d:\programming_projects\nba_application\images\svg\MEM_logo.svg", "XML", 0, 0, 0, 0, 0, 38, 1, 1, 40
"d:\programming_projects\nba_application\images\svg\MIA_logo.svg", "XML", 0, 0, 0, 0, 0, 66, 1, 1, 68
"d:\programming_projects\nba_application\images\svg\MIL_logo.svg", "XML", 0, 0, 0, 0, 0, 52, 1, 1, 54
"d:\programming_projects\nba_application\images\svg\MIN_logo.svg", "XML", 0, 0, 0, 0, 0, 57, 1, 1, 59
"d:\programming_projects\nba_application\images\svg\NOP_logo.svg", "XML", 0, 0, 0, 0, 0, 202, 1, 1, 204
"d:\programming_projects\nba_application\images\svg\NYK_logo.svg", "XML", 0, 0, 0, 0, 0, 101, 1, 1, 103
"d:\programming_projects\nba_application\images\svg\OKC_logo.svg", "XML", 0, 0, 0, 0, 0, 86, 1, 1, 88
"d:\programming_projects\nba_application\images\svg\ORL_logo.svg", "XML", 0, 0, 0, 0, 0, 90, 1, 1, 92
"d:\programming_projects\nba_application\images\svg\PHI_logo.svg", "XML", 0, 0, 0, 0, 0, 53, 1, 1, 55
"d:\programming_projects\nba_application\images\svg\PHX_logo.svg", "XML", 0, 0, 0, 0, 0, 29, 1, 1, 31
"d:\programming_projects\nba_application\images\svg\POR_logo.svg", "XML", 0, 0, 0, 0, 0, 25, 1, 1, 27
"d:\programming_projects\nba_application\images\svg\SAC_logo.svg", "XML", 0, 0, 0, 0, 0, 46, 1, 1, 48
"d:\programming_projects\nba_application\images\svg\SAS_logo.svg", "XML", 0, 0, 0, 0, 0, 23, 1, 1, 25
"d:\programming_projects\nba_application\images\svg\TOR_logo.svg", "XML", 0, 0, 0, 0, 0, 94, 1, 1, 96
"d:\programming_projects\nba_application\images\svg\UTA_logo.svg", "XML", 0, 0, 0, 0, 0, 16, 1, 1, 18
"d:\programming_projects\nba_application\images\svg\WAS_logo.svg", "XML", 0, 0, 0, 0, 0, 38, 1, 1, 40
"d:\programming_projects\nba_application\requirements.txt", "pip requirements", 0, 67, 0, 0, 0, 0, 0, 0, 67
"d:\programming_projects\nba_application\sql\delete_allstar.sql", "PL/SQL", 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\programming_projects\nba_application\src\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\programming_projects\nba_application\src\data_handling\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\programming_projects\nba_application\src\data_handling\cleaning.py", "Python", 26, 0, 0, 0, 0, 0, 0, 9, 35
"d:\programming_projects\nba_application\src\data_handling\player.py", "Python", 62, 0, 0, 0, 0, 0, 0, 14, 76
"d:\programming_projects\nba_application\src\data_handling\team.py", "Python", 74, 0, 0, 0, 0, 0, 0, 18, 92
"d:\programming_projects\nba_application\src\database\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\programming_projects\nba_application\src\database\config.py", "Python", 70, 0, 0, 0, 0, 0, 2, 16, 88
"d:\programming_projects\nba_application\src\database\query.py", "Python", 233, 0, 0, 0, 0, 0, 0, 6, 239
"d:\programming_projects\nba_application\src\frames\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\programming_projects\nba_application\src\frames\baseframe.py", "Python", 15, 0, 0, 0, 0, 0, 0, 5, 20
"d:\programming_projects\nba_application\src\frames\header.py", "Python", 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\programming_projects\nba_application\src\frames\menu.py", "Python", 27, 0, 0, 0, 0, 0, 0, 10, 37
"d:\programming_projects\nba_application\src\frames\mode_selector.py", "Python", 15, 0, 0, 0, 0, 0, 0, 7, 22
"d:\programming_projects\nba_application\src\frames\result_frame.py", "Python", 187, 0, 0, 0, 0, 0, 7, 53, 247
"d:\programming_projects\nba_application\src\frames\search_menu.py", "Python", 88, 0, 0, 0, 0, 0, 1, 17, 106
"d:\programming_projects\nba_application\src\main.py", "Python", 37, 0, 0, 0, 0, 0, 5, 11, 53
"d:\programming_projects\nba_application\src\requests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\programming_projects\nba_application\src\requests\image_request.py", "Python", 41, 0, 0, 0, 0, 0, 4, 14, 59
"d:\programming_projects\nba_application\src\test.py", "Python", 10, 0, 0, 0, 0, 0, 45, 19, 74
"d:\programming_projects\nba_application\src\utility.py", "Python", 5, 0, 0, 0, 0, 0, 1, 0, 6
"Total", "-", 897, 67, 4, 18, 4, 2137, 95, 242, 3464